Scenario,City,Overall Score (0-1)
35,Warsaw,0.7032
35,Vienna,0.661
35,Porto,0.5911
35,Valencia,0.4973
35,Rome,0.3882
35,Tenerife,0.1714
36,Prague,0.8375
36,Warsaw,0.6653
36,Vienna,0.6409
36,Porto,0.6047
36,Valencia,0.5351
36,Rome,0.4272
36,Tenerife,0.2625
37,Prague,1.0
37,Warsaw,0.9074
37,Porto,0.7458
37,Valencia,0.5936
37,Vienna,0.3758
37,Rome,0.2725
37,Tenerife,0.0
38,Prague,0.9
38,Warsaw,0.8059
38,Porto,0.7366
38,Valencia,0.6349
38,Vienna,0.4006
38,Rome,0.358
38,Tenerife,0.18
39,Prague,0.8333
39,Warsaw,0.7383
39,Porto,0.7305
39,Valencia,0.6624
39,Vienna,0.4172
39,Rome,0.415
39,Tenerife,0.3
40,Prague,0.98
40,Warsaw,0.8459
40,Porto,0.6766
40,Valencia,0.5349
40,Vienna,0.5006
40,Rome,0.298
40,Tenerife,0.02
41,Prague,0.9
41,Warsaw,0.7716
41,Porto,0.6805
41,Valencia,0.5791
41,Vienna,0.5005
41,Rome,0.365
41,Tenerife,0.1667
42,Prague,0.8429
42,Warsaw,0.7185
42,Porto,0.6833
42,Valencia,0.6106
42,Vienna,0.5004
42,Rome,0.4129
42,Tenerife,0.2714
43,Prague,0.9667
43,Warsaw,0.8049
43,Porto,0.6305
43,Vienna,0.5838
43,Valencia,0.4958
43,Rome,0.315
43,Tenerife,0.0333
44,Prague,0.9
44,Warsaw,0.7471
44,Porto,0.6404
44,Vienna,0.5719
44,Valencia,0.5392
44,Rome,0.37
44,Tenerife,0.1571
45,Prague,0.85
45,Warsaw,0.7037
45,Porto,0.6479
45,Valencia,0.5718
45,Vienna,0.5629
45,Rome,0.4113
45,Tenerife,0.25
46,Prague,0.9571
46,Warsaw,0.7756
46,Vienna,0.6433
46,Porto,0.5976
46,Valencia,0.4678
46,Rome,0.3271
46,Tenerife,0.0429
47,Prague,0.9
47,Warsaw,0.7287
47,Vienna,0.6254
47,Porto,0.6104
47,Valencia,0.5093
47,Rome,0.3738
47,Tenerife,0.15
48,Prague,0.8556
48,Warsaw,0.6922
48,Porto,0.6203
48,Vienna,0.6115
48,Valencia,0.5416
48,Rome,0.41
48,Tenerife,0.2333
